ward,precinct,pjoin,reg_voters,ballots_cast,blank_ballots,ballot_s1,ballot_s2,ballot_s3,ballot_s4,ballot_s5,petty_mayor,stefan_mayor,colorio_mayor,coleman_mayor,blank_mayor,bergman,stefan,toomey,nguyen,petty,creamer,wally,king,coleman,colorio,atlarge_blank,rose,cipro,d1_blank,mero-carlson,hampton-dance,d2_blank,russell,d3_blank,rivera,d4_blank,stratman,haxhiaj,d5_blank,johnson,mccullough,mailman,kamara,clancey,biancheria,soucy,novick,school_blank
Ward 8,Precinct 5,8-5,1735,131,0,,,,,131,76,12,29,8,6,47,45,52,66,67,51,33,54,41,51,279,,,,,,,,,81,50,,,,70,61,65,67,57,47,45,70,304
Ward 9,Precinct 1,9-1,2342,545,0,,,,545,,335,28,99,61,22,233,106,224,296,310,201,276,303,170,174,977,,,,,,,,,,,175,343,27,343,273,331,298,204,147,144,283,1247
Ward 9,Precinct 2,9-2,2549,785,0,,,,785,,487,30,187,58,23,363,129,333,393,424,287,419,432,230,312,1388,,,,,,,,,,,279,464,42,490,409,460,404,317,227,248,411,1744
Ward 9,Precinct 3,9-3,1969,514,0,,,,514,,319,23,115,44,13,226,93,223,264,288,153,245,273,140,201,978,,,,,,,,,,,197,302,15,345,256,296,263,208,164,160,262,1130
Ward 9,Precinct 4,9-4,2661,688,1,,,,688,,421,25,183,40,19,311,136,338,286,376,190,357,315,204,316,1299,,,,,,,,,,,326,318,44,372,343,356,308,283,250,211,329,1676
Ward 9,Precinct 5,9-5,2662,692,0,,,,692,,424,28,161,49,30,343,120,312,275,366,202,379,336,192,284,1343,,,,,,,,,,,328,319,45,401,359,400,302,282,230,203,324,1651
Ward 10,Precinct 1,10-1,1542,188,0,,,,,188,93,17,54,16,8,83,61,74,93,95,74,53,74,73,84,364,,,,,,,,,127,61,,,,105,79,95,104,61,77,65,91,451
Ward 10,Precinct 2,10-2,1685,179,0,,,,,179,114,16,23,21,5,49,56,67,113,106,86,66,109,74,48,300,,,,,,,,,132,47,,,,101,89,108,104,78,52,39,109,394
Ward 10,Precinct 3,10-3,1716,143,0,,,,,143,88,8,19,22,6,40,34,44,68,70,55,43,79,58,34,333,,,,,,,,,113,30,,,,84,56,64,89,57,45,32,68,363
Ward 10,Precinct 4,10-4,1598,104,0,,,,,104,74,8,8,10,4,24,24,33,61,53,37,18,58,40,26,250,,,,,,,,,78,26,,,,60,41,53,59,38,26,25,67,255
Ward 10,Precinct 5,10-5,1746,80,0,,,,,80,41,16,6,13,4,24,32,28,41,48,32,20,42,33,25,155,,,,,,,,,62,18,,,,52,30,46,49,28,22,21,50,182
